libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
chef / cheffe des ventes,http://www.onisep.fr/http/redirection/metier/identifiant/10065,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",D1406,Management en force de vente,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1406
directeur / directrice de magasin à grande surface,http://www.onisep.fr/http/redirection/metier/identifiant/10069,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,"Q : Commerce, gestion, finances",D1504,Direction de magasin de grande distribution,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1504
contrôleur / contrôleuse de gestion,http://www.onisep.fr/http/redirection/metier/identifiant/10040,Les métiers de la comptabilité et de la gestion,Parcours,2017,9782273013246,"Q : Commerce, gestion, finances",M1204,Contrôle de gestion,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1204
responsable du recrutement,http://www.onisep.fr/http/redirection/metier/identifiant/10048,Les métiers de la comptabilité et de la gestion,Parcours,2017,9782273013246,"Q : Commerce, gestion, finances",M1502,Développement des ressources humaines,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1502
ingénieur / ingénieure système,http://www.onisep.fr/http/redirection/metier/identifiant/10055,Les métiers de l'informatique,Parcours,2017,9782273013291,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",M1802,Expertise et support en systèmes d'information,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802
acheteur / acheteuse,http://www.onisep.fr/http/redirection/metier/identifiant/10068,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",M1101,Achat,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101
acheteur / acheteuse,http://www.onisep.fr/http/redirection/metier/identifiant/10068,Les métiers du commerce de gros,Zoom,2015,9782273012614,"Q : Commerce, gestion, finances",M1101,Achat,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101
commercial / commerciale export,http://www.onisep.fr/http/redirection/metier/identifiant/100285,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1402,Relation commerciale grands comptes et entreprises,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1402
vendeur / vendeuse en magasin,http://www.onisep.fr/http/redirection/metier/identifiant/10071,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1212,Vente en décoration et équipement du foyer,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1212
vendeur / vendeuse en magasin,http://www.onisep.fr/http/redirection/metier/identifiant/10071,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1106,Vente en alimentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106
responsable du service après-vente,http://www.onisep.fr/http/redirection/metier/identifiant/10072,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",I1402,Réparation de biens électrodomestiques et multimédia,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1402
boulanger / boulangère,http://www.onisep.fr/http/redirection/metier/identifiant/10074,Les métiers du goût et des saveurs,Parcours,2018,9782273013888,K : Production alimentaire,D1102,Boulangerie - viennoiserie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1102
boucher / bouchère,http://www.onisep.fr/http/redirection/metier/identifiant/10076,Les métiers du goût et des saveurs,Parcours,2018,9782273013888,K : Production alimentaire,D1101,Boucherie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1101
